Name,Country,Region,Winery,Rating,NumberOfRatings,Year,Price
Pomerol 2011,France,Pomerol,Château La Providence,4.2,100,2011,95
Lirac 2017,France,Lirac,Château Mont-Redon,4.3,100,2017,15.50
Erta e China Rosso di Toscana 2015,Italy,Toscana,Renzo Masi,3.9,100,2015,7.45
Bardolino 2019,Italy,Bardolino,Cavalchina,3.5,100,2019,8.72
Ried Scheibner Pinot Noir 2016,Austria,Carnuntum,Markowitsch,3.9,100,2016,29.15
Gigondas (Nobles Terrasses) 2017,France,Gigondas,Vieux Clocher,3.7,100,2017,19.90
Marion's Vineyard Pinot Noir 2016,New Zealand,Wairarapa,Schubert,4.0,100,2016,43.87
Red Blend 2014,Chile,Itata Valley,Viña La Causa,3.9,100,2014,17.52
Chianti 2015,Italy,Chianti,Castello Montaùto,3.6,100,2015,10.75
Tradition 2014,France,Minervois,Domaine des Aires Hautes,3.5,100,2014,6.90
Chianti Riserva 2013,Italy,Chianti,Poggiotondo,3.9,100,2013,20.95
Descendant 2016,Australia,Barossa,Torbreck,4.3,100,2016,140.64
Les Obriers de la Peira Terrasses du Larzac 2017,France,Terrasses du Larzac,La Pèira en Damaisèla,4.1,100,2017,14.52
Zenas Primitivo 2018,Italy,Puglia,La Bollina,3.6,100,2018,9.26
Cuvée Confidence Côtes du Rhône Rouge 2017,France,Côtes-du-Rhône,Domaine Fond Croze,3.7,100,2017,8.49
Shiraz 2018,Australia,South Eastern Australia,Barramundi,3.2,100,2018,6.50
Proprietor's Blend 2016,South Africa,Stellenbosch,Ernie Els,4.2,100,2016,29.09
La Bienquerida 2016,Spain,Bierzo,Losada,4.3,100,2016,41.58
Cabernet Sauvignon 2015,United States,California,Hacienda,3.8,100,2015,7.95
Fulgeo Negroamaro Salento 2016,Italy,Salento,San Donaci,4.0,100,2016,12.90
Contraste Tinto 2015,Portugal,Douro,Conceito,3.4,100,2015,9.90
Steiner 2013,Hungary,Sopron,Weninger,3.7,100,2013,24.50
Old Vines Primitivo 2015,Italy,Puglia,Azienda Agricola Morella,4.2,100,2015,38.70
Virtus Tannat 2013,Brazil,Serra Gaúcha,Monte Paschoal,2.9,100,2013,6.77
Kallista 2015,South Africa,Stellenbosch,Vriesenhof,4.3,100,2015,26.25
Badia a Passignano Gran Selezione Chianti Classico 2016,Italy,Chianti Classico,Antinori,4.2,1000,2016,39.90
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2012,France,Saint-Émilion Grand Cru,Château Figeac,4.4,1000,2012,174.49
Carlo V Il Rosso dell'Imperatore 2013,Italy,Veneto,Colli Vicentini,3.7,1000,2013,15.90
Pinot Noir 2016,United States,Monterey,District 7,3.6,1001,2016,15.98
Marquis de Calon Saint-Estèphe 2015,France,Saint-Estèphe,Château Calon-Ségur,3.9,1001,2015,43.28
Hécula Monastrell 2017,Spain,Yecla,Castaño,3.3,1004,2017,8.83
Berola 2015,Spain,Campo de Borja,Borsao,3.9,1006,2015,14.52
Saint-Julien (Grand Cru Classé) 2010,France,Saint-Julien,Château Léoville Poyferré,4.4,1008,2010,189
Pinot Noir Bourgogne 2017,France,Bourgogne,Faiveley,3.7,1009,2017,15.90
Vigna del Noce Barbera d'Asti 2007,Italy,Barbera d'Asti,Trinchero,4.1,101,2007,76.90
I Tratturi Rosso 2017,Italy,Salento,San Marzano,3.8,101,2017,7.04
Château Pilet Bordeaux 2017,France,Bordeaux,J.Queyrens & Fils,3.6,101,2017,6.50
Sancerre Rouge 2015,France,Sancerre,Comte Lafond,4.2,101,2015,37.34
Shiraz 2016,Australia,McLaren Vale,Food Truck,3.5,101,2016,8.67
Ro-Rée Saint-Joseph 2018,France,Saint-Joseph,Louis Chèze,4.2,101,2018,24.37
Cabernet Sauvignon 2015,South Africa,Stellenbosch,Big Flower,4.0,101,2015,16.50
Cuvée Alienor Fronsac 2015,France,Fronsac,Château Mayne-Vieil,3.7,101,2015,16.47
Sabbie di Sopra al Bosco 2014,Italy,Terre del Volturno,Nanni Copé,3.8,101,2014,31.96
Roma Rosso 2018,Italy,Lazio,Poggio le Volpi,4.0,101,2018,9.95
Garnacha de Arrayán 2014,Spain,Castilla y León,Arrayán,3.7,101,2014,21.90
Cabernet Sauvignon 2018,Chile,Central Valley,Valdivieso,3.3,101,2018,7.60
Terrenus Vinhas Velhas Reserva 2013,Portugal,Alentejano,Rui Reguinga,4.1,101,2013,27.95
Fronsac 2005,France,Fronsac,Château Villars,3.8,101,2005,25.95
Cuvée Charles de Batz Madiran 2014,France,Madiran,Domaine Berthoumieu,3.7,101,2014,14.09
Stony Terrace Cabernet Sauvignon 2016,United States,Napa Valley,Rutherford Wine Company,3.8,101,2016,18.03
12 e Mezzo Puglia Primitivo Organic Wine 2016,Italy,Puglia,Varvaglione,3.9,101,2016,9.40
El Abuelo Selección Edición Limitada 2013,Spain,Almansa,Bodegas Piqueras,4.2,101,2013,10.95
Sangre de Toro Special Selection 2017,Spain,Catalunya,Torres,3.6,101,2017,8.90
Château Paul Mas Coteaux du Languedoc Clos des Mures 2018,France,Languedoc,Paul Mas,3.8,101,2018,11.05
Merlot 2018,France,Pays d'Oc,Les Jamelles,3.6,101,2018,5.36
Roscaleto Barbera d'Alba 2015,Italy,Barbera d'Alba,Enzo Boglietti,3.9,101,2015,31.18
Barolo Cannubi 2014,Italy,Barolo,Giacomo Fenocchio,4.0,101,2014,39.90
Pauillac (Premier Grand Cru Classé) 2017,France,Pauillac,Château Mouton Rothschild,4.6,101,2017,633.62
Cabernet Sauvignon 2014,United States,Washington,Stimson Estate Cellars,3.3,101,2014,8.29
Côte-Rôtie Le Gallet Blanc 2017,France,Côte-Rôtie,Francois Villard,4.4,101,2017,48
Capatosta 2015,Italy,Toscana,Poggio Argentiera,3.8,101,2015,19.90
Constance Madiran 2015,France,Madiran,Domaine Berthoumieu,3.8,101,2015,9.50
Oak Cask Malbec 2019,Argentina,Mendoza,Trapiche,3.7,1010,2019,7.36
Amancaya Malbec - Cabernet Sauvignon 2017,Argentina,Mendoza,Caro (Catena and Rothschild),4.0,1010,2017,16.80
Laccento Ruché di Castagnole Monferrato 2017,Italy,Ruchè,Montalbera,4.0,1012,2017,19.90
San Leonardo 2011,Italy,Vigneti delle Dolomiti,San Leonardo,4.3,1012,2011,48.64
Fausto Tannat 2015,Brazil,Serra Gaúcha,Pizzato,3.6,1012,2015,11.35
Pauillac (Grand Cru Classé) 2007,France,Pauillac,Château Pichon Baron,4.4,1014,2007,119
Disciples 2016,United States,Napa Valley,The Crane Assembly,4.3,1014,2016,53.61
Zinfandel 2015,United States,Mendocino County,Bonterra,3.6,1015,2015,16.75
Margaux 2010,France,Margaux,Château Labégorce,4.0,1016,2010,40.95
La Luna e i Falò Barbera d'Asti Superiore 2015,Italy,Barbera d'Asti,Vite Colte,3.8,1016,2015,11.49
Ribera del Duero 2015,Spain,Ribera del Duero,Garmón,4.2,1017,2015,38.80
Les Jardins Rouge 2018,France,Faugères,Saint Antonin,3.8,102,2018,7.95
Nero d'Avola - Syrah 2018,Italy,Terre Siciliane,Roccaperciata,3.7,102,2018,4.75
La Bienquerida 2013,Spain,Bierzo,Losada,4.1,102,2013,35.97
Bonera 2018,Italy,Terre Siciliane,Mandrarossa,3.7,102,2018,9.50
Noi 4 Bolgheri 2016,Italy,Bolgheri,Tenuta dei Sette Cieli,4.0,102,2016,23.50
Pinot Noir 2016,New Zealand,Marlborough,Clos Henri Vineyard,3.9,102,2016,27.78
Saint-Émilion Grand Cru 2005,France,Saint-Émilion Grand Cru,Château Grand Barrail Lamarzelle Figeac,3.9,102,2005,39.95
Gran Selección Tempranillo 2017,Spain,Castilla,Viña San Juan,3.4,102,2017,6.75
Syrah 2017,South Africa,Paarl,Glen Carlou,3.9,102,2017,18.25
Zweigelt 2017,Austria,Burgenland,Judith Beck,3.9,102,2017,10.60
Saint-Émilion Grand Cru 2015,France,Saint-Émilion Grand Cru,Château Vieux Clos St. Emilion,4.1,102,2015,23.09
Listán Negro 2017,Spain,Lanzarote,Bermejo,3.6,102,2017,17.95
Viile Metamorfosis Merlot 2015,Romania,Dealu Mare,Vitis Metamorfosis,3.5,102,2015,7.50
Merlot - Cabernet Sauvignon - Petit Verdot 2014,South Africa,Walker Bay,Creation,3.9,102,2014,12.48
RWT Shiraz 2017,Australia,Barossa Valley,Penfolds,4.4,102,2017,229
Fronton 2018,France,Fronton,Château Bellevue La Forét,3.5,102,2018,6.95
Costers Del Gravet Montsant 2013,Spain,Montsant,Capçanes,3.7,102,2013,13.95
Merlot 2018,Italy,Terre Siciliane,Cusumano,3.4,102,2018,7.90
Pinot Noir 2015,Austria,Burgenland,Paul Achs,3.7,102,2015,33.05
Coume de l'Olla Rouge 2019,France,Vin de France,Matassa,4.1,102,2019,16.96
Schwarzer 2017,Germany,Pfalz,Weingut Metzger,3.6,102,2017,13.15
Haut-Médoc 2015,France,Haut-Médoc,Château Beaumont,3.8,1020,2015,17.36
Bourgogne Pinot Noir (La Vignée) 2015,France,Bourgogne,Bouchard Père & Fils,3.6,1020,2015,17.59
Pinot Noir 2017,South Africa,Hemel-en-Aarde Valley,Hamilton Russell Vineyards,4.2,1022,2017,49.09
Zinfandel 2016,United States,California,Geyser Peak,3.7,1023,2016,10.90
Valpolicella Ripasso Classico Superiore 2017,Italy,Valpolicella Ripasso Classico,Bolla,3.7,1024,2017,15.50
Rosso di Montalcino 2015,Italy,Rosso di Montalcino,Castiglion del Bosco,3.9,1025,2015,26.50
Ripanço Private Selection Alentejano 2016,Portugal,Alentejano,José Maria da Fonseca,3.7,1026,2016,8.60
Riserva Cannonau di Sardegna 2017,Italy,Cannonau di Sardegna,Sella & Mosca,3.8,1027,2017,10.66
60 Sessantanni Old Vines Primitivo di Manduria 2016,Italy,Primitivo di Manduria,San Marzano,4.4,1028,2016,17.24
Kith & Kin Cabernet Sauvignon 2017,United States,Napa Valley,Round Pond Estate,4.2,1028,2017,38.50
Zinfandel 2017,United States,California,Rombauer Vineyards,4.3,1029,2017,34.12
Cerro Añon Rioja Gran Reserva 2011,Spain,Rioja,Bodegas Olarra,4.1,103,2011,14.65
Bush Vine GSM (Shiraz - Grenache - Mourvedre) 2013,Australia,McLaren Vale,Geoff Merrill,4.0,103,2013,14.57
Plaer Vinyes Velles 2016,Spain,Priorat,Acustic Celler,4.1,103,2016,26.18
Cabernet - Shiraz 2016,Spain,La Mancha,Añoranza,3.4,103,2016,3.95
Saint-Émilion Grand Cru 2014,France,Saint-Émilion Grand Cru,Château La Confession,3.9,103,2014,26.90
Comte de Sénéjac Haut-Médoc 2011,France,Haut-Médoc,Château Sénéjac,3.7,103,2011,16.83
Gran Masetto Teroldego 2014,Italy,Trentino,Endrizzi,4.4,103,2014,39.90
Barolo Mariondino 2015,Italy,Barolo,Parusso,4.1,103,2015,39.90
Crianza 2016,Spain,Rioja,Berceo,3.6,103,2016,9.90
Apogee Pepper Bridge Vineyard 2013,United States,Walla Walla Valley,L'Ecole No 41,4.1,103,2013,46.90
Gamma Red Blend 2018,Spain,Navarra,Bodegas Piedemonte,3.4,103,2018,6.15
Peyres Nobles Rouge 2018,France,Corbières,Château Camplong,4.0,103,2018,6.50
Lemartine Toscana 2015,Italy,Toscana,Poggio Antico,4.1,103,2015,29.67
Organic Cabernet 2018,Australia,South Australia,Farm Hand,3.7,103,2018,7.79
Pomerol 1999,France,Pomerol,Château Nénin,4.1,103,1999,240
Malterdinger Alte Reben Spätburgunder 2016,Germany,Baden,Bernhard Huber,4.1,103,2016,38.69
Cabernet Franc 2012,South Africa,Franschhoek,Anthonij Rupert,4.2,103,2012,59.95
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2002,France,Saint-Émilion Grand Cru,Château Valandraud,4.4,103,2002,193.02
Bramare Rebon Vineyard Malbec 2017,Argentina,Mendoza,Viña Cobos,4.6,103,2017,75.07
Merlot Reserva 2008,Brazil,Vale dos Vinhedos,Pizzato,3.2,103,2008,15.90
Brunello di Montalcino Pianrosso 2015,Italy,Brunello di Montalcino,Ciacci Piccolomini d'Aragona,4.4,103,2015,66.29
François de Tournon Saint-Joseph 2016,France,Saint-Joseph,Delas,3.9,103,2016,29.15
Estibals Minervois 2018,France,Minervois,L'Ostal Cazes,3.6,103,2018,10.99
Barbera - Garnacha 2017,Chile,Maule Valley,Erasmo,3.5,103,2017,12.62
Roi des Lézards 2014,France,Côtes Catalanes,Domaine Les Enfants Sauvages,3.9,103,2014,19.40
One Point Five Cabernet Sauvignon 2016,United States,Stags Leap District,Shafer,4.5,1030,2016,120.01
Barbaresco 2013,Italy,Barbaresco,Gaja,4.4,1030,2013,199.90
Saint-Julien (Grand Cru Classé) 2006,France,Saint-Julien,Château Branaire-Ducru,3.9,1030,2006,59.54
Médoc 2012,France,Médoc,Château Potensac,3.8,1033,2012,39.69
Pieve Santa Restituta Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Gaja,4.3,1035,2014,59.90
Gran Maestro Primitivo di Manduria 2017,Italy,Primitivo di Manduria,Maestro Italiano,4.1,1036,2017,9.75
Saint-Julien (Grand Cru Classé) 2011,France,Saint-Julien,Château Léoville Barton,4.2,1037,2011,87.24
Inferno (Aged in Whiskey Barrels - Limited Release) 2017,United States,California,Apothic,3.8,1037,2017,14.56
Pessac-Léognan (Grand Cru Classé de Graves) 2007,France,Pessac-Léognan,Château Pape Clément,4.3,1037,2007,161.10
Faithful Hound Red 2015,South Africa,Stellenbosch,Mulderbosch,4.0,1038,2015,14.90
Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico 2012,Italy,Amarone della Valpolicella,Masi,4.3,1039,2012,69
Rosso di Montalcino 2018,Italy,Rosso di Montalcino,Talenti,3.7,104,2018,14.43
Chianti 2017,Italy,Chianti,Sammontana,3.7,104,2017,8.90
Azul 2015,Spain,Ribera del Queiles,Guelbenzu,3.8,104,2015,6.99
Sanct Valentin Riserva Pinot Noir 2017,Italy,Südtirol - Alto Adige,St. Michael-Eppan,4.1,104,2017,33.20
Mas Collet Barrica 2009,Spain,Montsant,Capçanes,3.5,104,2009,21.91
Valpolicella Ripasso Classico Superiore 2016,Italy,Valpolicella Ripasso Classico,Paolo Cottini,4.0,104,2016,16.90
Toscana Poggio Ai Merli 2016,Italy,Toscana,Castellare,4.3,104,2016,69
Viña Aljibes Red Blend 2016,Spain,Castilla,Finca Los Aljibes,3.4,104,2016,8.20
Châteauneuf-du-Pape (La Crau) 2017,France,Châteauneuf-du-Pape,Domaine du Vieux Télégraphe,4.4,104,2017,79.95
Châteauneuf-Du-Pape La Paillousse Terroir D'Exception Rouge 2015,France,Châteauneuf-du-Pape,Pierre Amadieu,4.0,104,2015,26.23
Mencia 2015,Spain,Valdeorras,Viña Costeira,3.2,104,2015,8.28
Santenay Clos de Malte 2016,France,Santenay,Louis Jadot,4.1,104,2016,32
Sudisfà Roero Riserva 2015,Italy,Roero,Negro Angelo,4.1,104,2015,29.90
Léa Les Aspres Côtes du Roussillon Rouge 2012,France,Côtes du Roussillon,Domaine Lafage,4.0,104,2012,19.95
Alleanza 2012,Italy,Toscana,Castello di Gabbiano,4.1,104,2012,26.95
Valpolicella Ripasso Classico Superiore Solane 2015,Italy,Valpolicella Ripasso,Santi,3.7,1040,2015,14.75
Crianza 2015,Spain,Binissalem-Mallorca,Bodegas José L. Ferrer,3.8,1040,2015,11.95
Courela Tinto 2016,Portugal,Alentejano,Cortes de Cima,3.6,1040,2016,5.65
Barbera d'Alba Tre Vigne 2015,Italy,Barbera d'Alba,Vietti,3.8,1040,2015,19.50
No Name 2014,Italy,Piemonte,Borgogno,4.0,1041,2014,34.32
Rioja Bordón Reserva 2011,Spain,Rioja,Franco-Espanolas,3.8,1045,2011,10.85
Pian delle Vigne Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Antinori,4.3,1046,2014,45.60
Almiréz 2016,Spain,Toro,Teso La Monja,4.0,1046,2016,14.95
Colheita Seleccionada Rouge 2010,Portugal,Alentejano,Rapariga da Quinta,3.2,1046,2010,11.70
Ammasso Rosso Sicilia 2016,Italy,Sicilia,Barone Montalto,4.2,1047,2016,16.34
Côtes du Rhône Nature Rouge 2016,France,Côtes-du-Rhône,Famille Perrin,3.6,1049,2016,10.45
Russian River Valley Zinfandel 2015,United States,Russian River Valley,DeLoach,3.5,105,2015,18.49
Saint-Julien (Grand Cru Classé) 2016,France,Saint-Julien,Château Léoville Las Cases,4.6,105,2016,330.45
Halkidiki Limnio - Merlot 2013,Greece,Chalkidiki,Tsantali,3.2,105,2013,12.49
Pomerol 2015,France,Pomerol,Château l'Ecuyer,4.2,105,2015,43.16
Toar Valpolicella Classico Superiore 2016,Italy,Valpolicella Classico,Masi,3.7,105,2016,15.60
Arbòre Cannonau di Sardegna 2012,Italy,Cannonau di Sardegna,Gabbas,4.0,105,2012,21.90
Ángeles de Amaren Tempranillo - Graciano 2015,Spain,Rioja,Bodegas Amaren,4.2,105,2015,15.95
Barbera 2018,Italy,Piemonte,Serre dei Roveri,3.3,105,2018,6.15
Amarone della Valpolicella 2006,Italy,Amarone della Valpolicella,Zýmē,4.5,105,2006,96.90
Castillo de Jumilla Monastrell - Tempranillo 2018,Spain,Jumilla,Bleda,3.5,105,2018,5.33
Hommage Lirac 2016,France,Lirac,Domaine Coudoulis,3.9,105,2016,19.01
Poggio d'Arna Toscana 2014,Italy,Toscana,Tenuta di Sesta,3.6,105,2014,12.90
Vinya Le Havre Reserva Cabernet Sauvignon 2013,Spain,Penedès,Jean Leon,4.0,105,2013,25.75
Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Tenute Silvio Nardi,3.8,105,2014,32.75
Sor Ugo Bolgheri Superiore 2017,Italy,Bolgheri Superiore,Aia Vecchia,4.3,105,2017,23.94
Ses Nines Negre 2018,Spain,Binissalem-Mallorca,Tianna Negre,3.8,105,2018,11.25
Terrassen Zweigelt Blauer 2018,Austria,Wachau,Domäne Wachau,3.7,105,2018,9.95
Rosso di Montalcino 2018,Italy,Rosso di Montalcino,Ciacci Piccolomini d'Aragona,4.1,105,2018,16.47
Riva Ranch Pinot Noir (Reliz Creek) 2017,United States,Arroyo Seco,Wente,3.9,105,2017,24.15
Altos R Tempranillo 2017,Spain,Rioja,Altos de Rioja,3.4,105,2017,6.90
Amarone della Valpolicella Classico 2016,Italy,Amarone della Valpolicella Classico,Zenato,4.2,105,2016,43.61
Potenti Toscana (Suvereto) 2015,Italy,Toscana,Petra,3.9,105,2015,39.58
Trentatre 33 Rosso 2017,Italy,Salento,Rocca,3.6,105,2017,6.95
Pievasciata Rosso 2016,Italy,Toscana,Vallepicciola,4.1,105,2016,14.90
Brunello di Montalcino 2013,Italy,Brunello di Montalcino,Tenute Silvio Nardi,3.9,1050,2013,35.50
The Barossan Shiraz 2017,Australia,Barossa Valley,Peter Lehmann,3.8,1051,2017,16.48
Nero d'Avola 2017,Italy,Terre Siciliane,Colosi,3.8,1055,2017,8.68
Bordeaux 2015,France,Bordeaux,Jean-Pierre Moueix,3.5,1056,2015,10.21
Cabernet Sauvignon 2018,United States,California,Woodbridge by Robert Mondavi,3.4,1056,2018,8.95
Tinto 2018,Portugal,Lisboa,Porta 6,3.7,1056,2018,9.12
Délicate N.V.,South Africa,Stellenbosch,De Toren,4.1,1056,N.V.,14.38
Aglianico Rubrato 2014,Italy,Irpinia,Feudi di San Gregorio,3.5,1057,2014,10.95
Gran Verano Cabernet Sauvignon 2018,Chile,Central Valley,Apaltagua,3.4,1059,2018,6.95
Grand Estates Merlot 2015,United States,Columbia Valley,Columbia Crest,3.7,1059,2015,12.40
Saint-Julien (Grand Cru Classé) 2017,France,Saint-Julien,Château Beychevelle,4.0,106,2017,86.76
Copa Santa La Méjanelle 2015,France,Languedoc,Clavel,4.0,106,2015,17.90
Cantodoro 2016,Italy,Sicilia,Feudo Arancio,3.6,106,2016,8.50
Vitiano San Lorenzo 2014,Italy,Castel San Lorenzo,Falesco,3.9,106,2014,11.95
Disueri Nero d'Avola 2018,Italy,Sicilia,Cusumano,3.6,106,2018,7.70
Kirschgarten Spatburgunder GG 2013,Germany,Pfalz,Knipser,4.2,106,2013,39.95
B 2017,Spain,Ribera del Duero,Baden Numen,3.8,106,2017,11.21
Pinot Noir 2017,Italy,Valle d'Aosta,Ottin - Viticulteur Encaveur,4.0,106,2017,22.50
Protocolo Tinto 2018,Spain,Castilla,Dominio de Eguren,3.7,106,2018,5.95
Rouge 2016,France,Bordeaux,Bad Boy (Mauvais Garçon),3.9,106,2016,16.90
Côte de Nuits Villages Le Vaucrain 2016,France,Côte de Nuits Villages,Louis Jadot,4.0,106,2016,32
Vino Nobile di Montepulciano 2016,Italy,Vino Nobile di Montepulciano,Talosa,3.9,106,2016,17.79
Yotuel Selección 2014,Spain,Ribera del Duero,Gallego Zapatero,3.6,106,2014,15.75
Lanzaga Rioja 2014,Spain,Rioja,Telmo Rodriguez,3.8,106,2014,19.95
Elysian Collection Merlot 2016,United States,California,Bonterra,3.8,106,2016,26.70
La Tiare du Pape Châteauneuf-du-Pape Rouge 2015,France,Châteauneuf-du-Pape,Maison Bouachon,3.9,106,2015,45
Spätburgunder Trocken 2015,Germany,Pfalz,Ökonomierat Rebholz,3.9,106,2015,21.40
El Chocolatero Cariñena 2014,Spain,Cariñena,San Valero,3.2,106,2014,7.75
Hermitage La Chapelle Rouge 2016,France,Hermitage,Paul Jaboulet Aîné,4.3,106,2016,249.95
Mas Oliveras Tempranillo 2018,Spain,Catalunya,Ramón Roqueta,3.2,106,2018,6.50
Pannobile 2015,Austria,Burgenland,Pittnauer,3.9,106,2015,22.13
Tempus 2018,Italy,Veneto,Stefano Accordini,3.8,106,2018,10.42
Le Clos des Fées (Hervé Bizeul) 2013,France,Côtes du Roussillon,Domaine du Clos des Fées,4.1,106,2013,52.53
Tío Martín Crianza 2016,Spain,Rioja,D. Mateos,3.8,106,2016,15.69
Vigna Del Mandorlo Dolcetto d'Alba 2017,Italy,Dolcetto d'Alba,Elvio Cogno,3.4,106,2017,11.50
Barolo Bussia 2015,Italy,Barolo,Prunotto,4.1,106,2015,69
Tinto 2015,Spain,Rioja,Gran Familia,3.5,106,2015,5.80
Finca Cuesta Clara Raro Reserva 2015,Spain,Rioja,Campillo,4.2,106,2015,39.99
Fronsac 2005,France,Fronsac,Château la Vieille Cure,4.0,106,2005,39.95
Ventoux 2016,France,Ventoux,Xavier Vignon,3.6,106,2016,8.20
Hussonet Cabernet Sauvignon Gran Reserva 2015,Chile,Maipo Valley,Haras de Pirque,3.7,1060,2015,15.95
Salice Salentino Riserva 2016,Italy,Salice Salentino,Marchese di Borgosole,3.9,1061,2016,8.49
Chianti Classico 2016,Italy,Chianti Classico,Isole e Olena,3.9,1063,2016,20.86
Joseph Meczan Pinot Nero - Blauburgunder Alto Adige 2016,Italy,Südtirol - Alto Adige,J. Hofstätter,3.6,1064,2016,13.48
Brunello di Montalcino 2014,Italy,Brunello di Montalcino,Tenuta Il Poggione,4.2,1065,2014,36.63
Cabernet Sauvignon 2015,United States,Columbia Valley,Columbia Winery,3.8,1065,2015,17.75
Saint-Julien (Grand Cru Classé) 2009,France,Saint-Julien,Château Léoville Barton,4.4,1066,2009,133.06
